participant_code,session_code,experiment,prolific_id,part_num,round_number,allocation,kept,random_payoff_part,is_delegation,delegate_decision_optional,dataset_generated,comprehension_attempts,incorrect_answers,is_excluded,gender,age,occupation,ai_use,task_difficulty,feedback
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,1,52,48,1.0,True,,"{""0"": ""46,50,48,56,57,47,52,43,49,51"", ""1"": ""50,46,53,50,48,47,41,44,40,42"", ""2"": ""52,46,41,49,58,52,52,56,48,46""}",2,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,2,46,54,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,3,41,59,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,4,49,51,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,5,58,42,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,6,52,48,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,7,52,48,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,8,56,44,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,9,48,52,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,1,10,46,54,1.0,True,,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,11,23,77,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,12,2,98,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,13,2,98,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,14,1,99,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,15,3,97,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,16,2,98,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,17,3,97,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,18,43,57,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,19,23,77,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,2,20,12,88,1.0,False,False,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,21,48,52,1.0,True,True,"{""0"": ""48,54,53,55,50,50,61,56,60,54""}",0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,22,54,46,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,23,53,47,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,24,55,45,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,25,50,50,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,26,50,50,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,27,61,39,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,28,56,44,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,29,60,40,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
1c6wys6h,57ylzw2a,Supervised Delegation First,123456789012345678901234,3,30,54,46,1.0,True,True,{},0,,False,male,23.0,xxx,constant,easy,
